Date,Title,URL
2023-01-08,Jyoti Bikash Bank (JBBL) Proposes 6.80% Dividend Worth Rs 29.02 Crores for FY 2078/79,https://www.sharesansar.com/newsdetail/jyoti-bikash-bank-jbbl-proposes-680-dividend-worth-rs-2902-crores-for-fy-207879-2023-01-08
2022-12-20,Commercial Banks Accumulates Net Profit of Rs. 25.32 Arba Till Kartik End; 5 Development Banks & 2 Finance Companies In Loss,https://www.sharesansar.com/newsdetail/commercial-banks-accumulates-net-profit-of-rs-2532-arba-till-kartik-end-5-development-banks-2-finance-companies-in-loss-2022-12-20
2022-12-12,Jyoti Bikas Bank hands over baby warmers to 3 government health facilities in east Nepal; hands over such warmers to 23 hospitals across Nepal so far,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-hands-over-baby-warmers-to-3-government-health-facilities-in-east-nepal-hands-over-such-warmers-to-23-hospitals-across-nepal-so-far-2022-12-12
2022-12-07,75 Listed Companies from Different Sectors Have Already Declared Dividends for Fiscal Year 2078/2079; Know Them all?,https://www.sharesansar.com/newsdetail/75-listed-companies-from-different-sectors-have-already-declared-dividends-for-fiscal-year-20782079-know-them-all-2022-12-07
2022-11-07,Net Profit of Development Banks of Nepal has Decreased in Q1; Dive Into Comprehensive Analysis of Major Indicators For All 15 Development Banks In Nepal,https://www.sharesansar.com/newsdetail/net-profit-of-development-banks-of-nepal-has-decreased-in-q1-dive-into-comprehensive-analysis-of-major-indicators-for-all-15-development-banks-in-nepal-2022-11-07
2022-08-08,Development Banks Report 26.88% Rise In Net Profit In Q4; Dive Into Comprehensive Analysis of Major Indicators For All 16 Development Banks In Nepal,https://www.sharesansar.com/newsdetail/development-banks-report-2688-rise-in-net-profit-in-q4-dive-into-comprehensive-analysis-of-major-indicators-for-all-16-development-banks-in-nepal-2022-08-08
2022-06-14,The Interest Rates Of Banks and Financial Institutions For The Month Of Ashad Remains Unchanged,https://www.sharesansar.com/newsdetail/the-interest-rates-of-banks-and-financial-institutions-for-the-month-of-ashad-remains-unchanged-2022-06-14
2022-05-01,Detailed Summary Of Dividends Distributed By Sectors Listed In Nepse For FY-77/78 With Exact Dividend Figures,https://www.sharesansar.com/newsdetail/detailed-summary-of-dividends-distributed-by-sectors-listed-in-nepse-for-fy-7778-with-exact-dividend-figures-2022-05-01
2022-02-23,Jyoti Bikash Bank (JBBL) Distributes Bonus Shares to Demat Accounts,https://www.sharesansar.com/newsdetail/jyoti-bikash-bank-jbbl-distributes-bonus-shares-to-demat-accounts-2022-02-23
2022-02-14,Bonus Shares of NLO and JBBL Listed in NEPSE,https://www.sharesansar.com/newsdetail/bonus-shares-of-nlo-and-jbbl-listed-in-nepse-2022-02-14
2022-01-30,How Did Development Bank Perform Amid Liquidity Crunch In Second Quarter? A Detailed Study Of The Major Indicators,https://www.sharesansar.com/newsdetail/development-bank-comparative-q2-2022-01-28
2022-01-26,Dividend of These 3 Companies Distributed in Bank/ Demat Accounts,https://www.sharesansar.com/newsdetail/dividend-of-these-3-companies-distributed-in-bank-demat-accounts-2022-01-26
2021-12-23,Do Not Forget: Last Day to Grab Dividend Proposes by These 4 Companies,https://www.sharesansar.com/newsdetail/do-not-forget-last-day-to-grab-dividend-proposes-by-these-4-companies-2021-12-22
2021-12-16,"Jyoti Bikash Bank (JBBL) Calls AGM to Endorse 15.5% Dividend, When's the Book Closure?",https://www.sharesansar.com/newsdetail/jyoti-bikash-bank-jbbl-calls-agm-to-endorse-155-dividend-whens-the-book-closure-2021-12-16
2021-11-25,Jyoti Bikash Bank (JBBL) Proposes 15.5% Dividend for FY 2077/78,https://www.sharesansar.com/newsdetail/jyoti-bikash-bank-jbbl-proposes-155-dividend-for-fy-207778-2021-11-25
2021-11-11,Development Bank's Performance In First Quarter Summarized; How Did Each Bank Perform?,https://www.sharesansar.com/newsdetail/development-bank-comparative-q1-78-79-2021-11-09
2021-10-31,Jyoti Bikash Bank Debenture 2087 (JBBD87) Now Listed in NEPSE,https://www.sharesansar.com/newsdetail/jyoti-bikash-bank-debenture-2087-jbbd87-now-listed-in-nepse-2021-10-31
2021-09-15,Promoter Shares of These Companies are in Auction,https://www.sharesansar.com/newsdetail/promoter-shares-of-these-companies-are-in-auction-2021-09-15
