Date,Title,URL
2021-11-01,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 401.37 million and published its 1st quarter company analysis of the fiscal year 2078/79.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-40137-million-and-published-its-1st-quarter-company-analysis-of-the-fiscal-year-207879-2021-11-01
2021-08-14,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 1.40 billion and published its 4th quarter company analysis of the fiscal year 2077/78.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-140-billion-and-published-its-4th-quarter-company-analysis-of-the-fiscal-year-207778-2021-08-14
2021-04-28,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 1.18 billion and published its 3rd quarter company analysis of the fiscal year 2077/78.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-118-billion-and-published-its-3rd-quarter-company-analysis-of-the-fiscal-year-207778-2021-04-28
2021-04-02,Standard Chartered Bank Nepal Limited has published its annual financial highlights of the fiscal year 2076/77.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-its-annual-financial-highlights-of-the-fiscal-year-207677-2021-04-02
2021-01-28,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 727.63 million and published its 2nd quarter company analysis of the fiscal year 2077/78.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-72763-million-and-published-its-2nd-quarter-company-analysis-of-the-fiscal-year-207778-2021-01-28
2020-11-13,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 401.37 million and published its 1st quarter company analysis of the fiscal year 2077/78.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-40137-million-and-published-its-1st-quarter-company-analysis-of-the-fiscal-year-207778-2020-11-13
2020-08-14,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 1.98 billion and published its 4th quarter company analysis of the fiscal year 2076/77.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-198-billion-and-published-its-4th-quarter-company-analysis-of-the-fiscal-year-207677
2020-05-13,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 1.8 billion and published its 3rd quarter company analysis of the fiscal year 2076/77.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-18-billion-and-published-its-3rd-quarter-company-analysis-of-the-fiscal-year-207677
2020-02-11,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 1.22 billion and published its 2nd quarter company analysis of the fiscal year 2076/77.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-122-billion-and-published-its-2nd-quarter-company-analysis-of-the-fiscal-year-207677
2020-01-10,Standard Chartered Bank Nepal Limited has published its annual financial highlights of the fiscal year 2075/76.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-its-annual-financial-highlights-of-the-fiscal-year-207576
2019-11-16,Standard Chartered Bank Nepal Limited has posted a net profit of Rs 644.12 million and published its 1st quarter company analysis of the fiscal year 2076/77.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-rs-64412-million-and-published-its-1st-quarter-company-analysis-of-the-fiscal-year-207677
2019-08-14,Standard Chartered Bank Nepal Limited has posted a net profit of 2.49 billion and published its 4th quarter company analysis of the fiscal year 2075/76.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-249-billion-and-published-its-4th-quarter-company-analysis-of-the-fiscal-year-207576
2019-05-07,Standard Chartered Bank Nepal Limited has posted a net profit of 1.73 billion and published its 3rd quarter company analysis of the fiscal year 2075/76.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-a-net-profit-of-173-billion-and-published-its-3rd-quarter-company-analysis-of-the-fiscal-year-207576
2019-04-13,Standard Chartered Bank Nepal Limited has published its annual financial highlights of the fiscal year 2074/75.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-its-annual-financial-highlights-of-the-fiscal-year-207475
2019-02-12,Standard Chartered Bank Nepal Limited has posted net profit of Rs 1.14 billion and published its 2nd quarter company analysis of the fiscal year 2075/76.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-net-profit-of-rs-114-billion-and-published-its-2nd-quarter-company-analysis-of-the-fiscal-year-207576
2018-11-13,Standard Chartered Bank Nepal Limited has posted net profit of Rs 634.13 million and published its 1st quarter company analysis of the fiscal year 2075/76.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-net-profit-of-rs-63413-million-and-published-its-1st-quarter-company-analysis-of-the-fiscal-year-207576
2018-08-15,Standard Chartered Bank Nepal Limited has posted net profit of Rs 2.07 billion and published its 4th quarter company analysis and NFRS Compliant Unaudited Financial Statement for the fiscal year 2074/75.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-net-profit-of-rs-207-billion-and-published-its-4th-quarter-company-analysis-and-nfrs-compliant-unaudited-financial-statement-for-the-fiscal-year-207475
2018-04-26,Standard Chartered Bank Nepal  Limited has posted net profit of Rs 1.5 billion and published its 3rd quarter company analysis of the fiscal year 2074/75.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-net-profit-of-rs-15-billion-and-published-its-3rd-quarter-company-analysis-of-the-fiscal-year-207475
2018-01-28,Standard Chartered Bank Nepal Limited has posted net profit of Rs 1.01 billion and published its 2nd quarter company analysis of the fiscal year 2074/75.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-net-profit-of-rs-1-01-billion-and-published-its-2nd-quarter-company-analysis-of-the-fiscal-year-207475
2018-01-23,Standard Chartered Bank Nepal Limited has published a financial highlight of the fiscal year 2073/74.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-published-a-financial-highlight-of-the-fiscal-year-207374
2017-11-07,Standard Chartered Bank Nepal Limited has posted net profit of Rs 482.53 million and published its 1st quarter company analysis of the fiscal year 2074/75.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-net-profit-of-rs-482-53-million-and-published-its-1st-quarter-company-analysis-of-the-fiscal-year-207475
2017-08-13,Standard Chartered Bank Nepal Limited has posted net profit of Rs 1.38 billion and published its 4th quarter company analysis of the fiscal year 2073/74.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-net-profit-of-rs-1-38-billion-and-published-its-4th-quarter-company-analysis-of-the-fiscal-year-207374
2017-05-08,Standard Chartered Bank Nepal Limited has posted net profit of Rs 1.06 billion and published its 3rd quarter company analysis of the fiscal year 2073/74.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-net-profit-of-rs-1-06-billion-and-published-its-3rd-quarter-company-analysis-of-the-fiscal-year-207374
2017-02-08,Standard Chartered Bank Nepal Limited has posted net profit of Rs.740.14 million and published its 2nd quarter company analysis of the fiscal year 2073/74.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-net-profit-of-rs-740-14-million-and-published-its-2nd-quarter-company-analysis-of-the-fiscal-year-207374
2016-11-14,Standard Chartered Bank Nepal Limited has posted net profit of Rs.349.42 million and published its 1st quarter company analysis of the fiscal year 2073/74.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-net-profit-of-rs-349-42-million-and-published-its-1st-quarter-company-analysis-of-the-fiscal-year-207374
2016-08-13,Standard Chartered Bank Nepal Limited has posted net profit of Rs.1.26 Billion and published its 4th quarter company analysis of the fiscal year 2072/73.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-net-profit-of-rs-1-26-billion-and-published-its-4th-quarter-company-analysis-of-the-fiscal-year-207273
2016-06-22,Standard Chartered Bank Limited has published its financial highlight of the fiscal year 2071/72.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-limited-has-published-its-financial-highlight-of-the-fiscal-year-207172
2016-05-10,Standard Chartered Bank Limited has posted net profit of Rs 906.78 million and published its 3rd quarter company analysis of the fiscal year 2072/73.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-limited-has-posted-net-profit-of-rs-906-78-million-and-published-its-3rd-quarter-company-analysis-of-the-fiscal-year-207273
2016-02-11,Standard Chartered Bank Limited has posted net profit of Rs.612 million and published its 2nd quarter company analysis of the fiscal year 2072/73.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-limited-has-posted-net-profit-of-rs-612-million-and-published-its-2nd-quarter-company-analysis-of-the-fiscal-year-207273
2015-11-15,Standard Chartered Bank Nepal Limited has posted net profit of Rs.345.24 million and published its 1st quarter company analysis of the fiscal year 2072/73.,https://www.sharesansar.com/announcementdetail/standard-chartered-bank-nepal-limited-has-posted-net-profit-of-rs-345-24-million-and-published-its-1st-quarter-company-analysis-of-the-fiscal-year-207273
